file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_PC0153_0072_413445_to_418053,ས་ཐོག་ཁོ་རང་ནང་མི་དྲག་ག་རྐྱང་རྐྱང་འགྲོ་གོ་རེད། དེ་ནང་ང་ཚུད་པའི་རེ་བ་ཁོ་རང་མ་གཞི་ནས་ཡོད་མ་རེད།  ,sa thog kho rang nang mi drag ga rkyang rkyang 'gro go red/_de nang nga tshud pa'i re ba kho rang ma gzhi nas yod ma red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0153_0072_413445_to_418053.wav,STT_PC,3,95,4.608,wav16k/STT_PC0153_0072_413445_to_418053.wav,ས་ཐོག་ཁོ་རང་ནང་གི་མི་དྲག་ག་རྐྱང་རྐྱང་འགྲོ་གོ་རེད། དེ་ནས་ང་ཚུད་པའི་རེ་བ་ཁོ་རང་མ་གཞི་ན་ཡོད་མ་རེད།
STT_NS_M0460_0111_716527_to_722619,ཁོང་ཚོས་བསྡད་ས་པེ་ཡག་དྲགས་ཡ་སྤྲད་ཀི་རེད་རཱ། ཡག་པོ་དཔེ་འདུག་བ་ཡང་། གཞན་པ་ད་མ་འོངས་པ་ལས་ཀ་བྱས་ནས་གླ་ཆ་ནི་ཁོང་ཚོས་གྱོང་མེད་རྒྱོ་སྤྲད་ཀི་འདུག་བ།  ,khong tshos bsdad sa pe yag drags ya sprad ki red rA/_yag po dpe 'dug ba yang /_gzhan pa da ma 'ongs pa las ka byas nas gla cha ni khong tshos gyong med rgyo sprad ki 'dug ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0460_0111_716527_to_722619.wav,STT_NS,3,142,6.092,wav16k/STT_NS_M0460_0111_716527_to_722619.wav,ཁོ་ཚོ་བསྡད་ས་པེ་ཡག་དྲགས་ཡ་སྤྲད་ཀི་རེད་རཱ། ཡག་པོ་དཔེ་འདུག་བ་ཡང་། གཞན་པ་ད་མ་འོངས་པ་ལས་ཀ་བྱས་ནས་གླ་ཆ་ནི་ཁོ་ཚོ་གྱོང་མེད་རྒྱོ་སྤྲད་ཀི་འདུག་བ།
STT_MV0858_0045_357641_to_364741,ཨེ་ནས་མོ་གློད་དགོས་མ་རེད་བེ། གློད་ཡ་ཨེ། ཤིག་ལ་བརྒྱབས་ནས་གོང་ངའི་ཕྱི་ནང་རེད།  ,e nas mo glod dgos ma red be/_glod ya e/_shig la brgyabs nas gong nga'i phyi nang red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0858_0045_357641_to_364741.wav,STT_MV,3,77,7.1,wav16k/STT_MV0858_0045_357641_to_364741.wav,ཨེ་ནས་མོ་གློད་དགོས་མ་རེ། གློད་ཡ་ཨེ། ཅིས་ལའ་བརྒྱབ་ནས་སྒོང་ངའི་ཕྱི་ནང་རེད།
STT_PC0153_0094_535350_to_538006,ཡིན་ན་བསམ་བསམ་དེ་གས་དེའི་སྐོར་ལ་འབྲེལ་བ་ཡོད་པ་དེ་འདྲས་བྱུང་སོང་།  ,yin na bsam bsam de gas de'i skor la 'brel ba yod pa de 'dras byung song /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0153_0094_535350_to_538006.wav,STT_PC,3,66,2.656,wav16k/STT_PC0153_0094_535350_to_538006.wav,ཡིན་ན་བསམ་བསམ་དེ་གས་དེའི་སྐོར་ལ་འབྲེལ་བ་ཡོད་པ་དེ་འདྲས་བྱུང་སོང་།
STT_PC0161_0137_966952_to_969576,འགྲོ་བ་ཡིན་ན་ལས་མིག་གིས་ནི་མི་མཐོང་། ཨམ་ཅོག་གིས་ནི་མ་གོ།  ,'gro ba yin na las mig gis ni mi mthong /_am cog gis ni ma go/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0161_0137_966952_to_969576.wav,STT_PC,3,58,2.624,wav16k/STT_PC0161_0137_966952_to_969576.wav,འགྲོ་བ་ཡིན་ན་ལས་མིག་གིས་ནི་མི་མཐོང་། ཨམ་ཅོག་གིས་ནི་མི་གོས།
STT_PC0161_0146_1039479_to_1041800,མོ་སྔོན་མ་དེ་བར་སྤོ་གཅིག་ལ་གཡོག་པོ་རྒྱག་ག་ཕྱིན་པ་ཡིན་ཟེར།  ,mo sngon ma de bar spo gcig la g.yog po rgyag ga phyin pa yin zer/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0161_0146_1039479_to_1041800.wav,STT_PC,3,59,2.321,wav16k/STT_PC0161_0146_1039479_to_1041800.wav,མོ་སྔན་མ་དེ་བ་སྤོ་ཅིག་ལ་གཡོག་པོ་རྒྱག་ག་ཕྱིན་པ་ཡིན་ཟེ།
STT_PC0161_0147_1043131_to_1046476,སྤོ་དེ་རྒྱུ་ཆེན་པོ་ཞེ་བོ་ཅིག་རེད་ཤག་ཟེ། པུ་གུ་ནི་མི་འདུག་ཟེ། བཟའ་ཚང་ཡང་མི་འདུག་ཟེ།  ,spo de rgyu chen po zhe bo cig red shag ze/_pu gu ni mi 'dug ze/_bza' tshang yang mi 'dug ze/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0161_0147_1043131_to_1046476.wav,STT_PC,3,84,3.345,wav16k/STT_PC0161_0147_1043131_to_1046476.wav,སྤོབས་དེ་རྒྱུ་ཆེན་པོ་ཞེ་བོ་ཅིག་རེད་ཤག་ཟེ། བུ་གུ་ནི་མི་འདུག་ཟེ། བཟའ་ཚང་ཡང་མི་འདུག་ཟེ།
STT_PC0161_0148_1047824_to_1050281,ད་སྤོ་དེ་གིས་ཁོར་ཡིན་གཅིག་མིན་གཅིག་བུ་མོ་དགོས་ཟེར་གི་འདུག་ཟེ།  ,da spo de gis khor yin gcig min gcig bu mo dgos zer gi 'dug ze/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0161_0148_1047824_to_1050281.wav,STT_PC,3,63,2.457,wav16k/STT_PC0161_0148_1047824_to_1050281.wav,ད་སྤོ་དེ་གིས་ཁོ་ཡིན་གཅིག་མིན་གཅིག་བུ་མོ་དགོས་ཟེར་གི་འདུག་ཟེ།
STT_PC0161_0151_1064496_to_1069052,ད་འཕུར་མཉེད་བཏང་དགོས་དུས་ཙམ་པ། གཟུགས་པོ་འཕུར་མཉེད་གཏང་ཡ་ཚད་གི་མི་འདུག་ག ག་དུས་ཡིན་ནས། ཅིག་དེ།  ,da 'phur mnyed btang dgos dus tsam pa/_gzugs po 'phur mnyed gtang ya tshad gi mi 'dug ga_ga dus yin nas/_cig de/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0161_0151_1064496_to_1069052.wav,STT_PC,3,95,4.556,wav16k/STT_PC0161_0151_1064496_to_1069052.wav,ད་འཕུར་མཉེ་གཏང་དགོས་དུས་ཙམ་པ། གཟུགས་པོ་འཕུར་མྱེ་གཏང་ཡ་ཚད་ཀི་མི་འདུག་ག། ག་དུས་ཡིན་ནས་གཅིག་དེ།
STT_NS_M0490_0757_4819974_to_4822022,ག་རེ་ལབ་དགོས་རེད། བྲི་ཡ་ད་བྲིས་འདུག་ཡོད་བ། ཐ་མག་དེ།  ,ga re lab dgos red/_bri ya da bris 'dug yod ba/_tha mag de/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0490_0757_4819974_to_4822022.wav,STT_NS,3,53,2.048,wav16k/STT_NS_M0490_0757_4819974_to_4822022.wav,ག་རེ་ལབ་དགོས་རེད། བྲི་ཡ་ད་བྲི་ཡི་འདུག་ཡོད་བ། མཐའ་མ་དེ།
STT_NS_M0490_0761_4843520_to_4848210,ཨེ་ནས་ཨོ་ཨེ་འདྲའི་འདྲ་བོ་མིག་དཔེ་ནོར་རྒྱོ་འདྲ་བོ་ཡོད་བ། ལྟད་མོ་བརྒྱུད་ནས་ཡང་ད་མང་པོ་སླེབས་རྒྱོ་འདྲ་བོ་མཐོང་གི་འདུག་ང་རང་གིས་ཡོད་བ།  ,e nas o e 'dra'i 'dra bo mig dpe nor rgyo 'dra bo yod ba/_ltad mo brgyud nas yang da mang po slebs rgyo 'dra bo mthong gi 'dug nga rang gis yod ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0490_0761_4843520_to_4848210.wav,STT_NS,3,132,4.69,wav16k/STT_NS_M0490_0761_4843520_to_4848210.wav,ཨེ་ནས་ཨོ་ཨེ་འདྲའི་འདྲ་བོ་མིག་དཔེ་ནོར་རྒྱོ་འདྲ་བོ་ཡོད་བ། ལྟད་མོ་བརྒྱུད་ནས་ཡང་ད་མང་པོ་སླེབས་རྒྱོ་འདྲ་བོ་མཐོང་གི་འདུག་ང་རང་གིས་ཡོད་བ།
STT_CS-X-2015-M-D-B02-3-R-02_0009_58165_to_64360,ཨ་ནས་རྩེ་ཐུབ་ས་མ་རེད། ཡོང་ཐུབ་ས་མ་རེད་ལབ་ཀི་རེད་ད། ཨོ། ད་འགྲིག་སོང་ལོ། བཀའ་དྲིན་ཆེ་ལབ་ནས། འགྲོ་སོང་ད།  ,a nas rtse thub sa ma red/_yong thub sa ma red lab ki red da/_o/_da 'grig song lo/_bka' drin che lab nas/_'gro song da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-X-2015-M-D-B02-3-R-02_0009_58165_to_64360.wav,STT_CS,3,103,6.195,wav16k/STT_CS-X-2015-M-D-B02-3-R-02_0009_58165_to_64360.wav,ཨ་ནས་ང་ཚལ་ཅུབ་ས་མ་རེད། ཡོང་ཐུབ་ས་མ་རེད་ལབ་ཀྱི་རེད་ད། ཨ། ད་འགྲིག་སོང་ལོ། བཀའ་དྲིན་ཆེ་ཡག་ཡིན་ལོ། འགྲོ་སོང་ད།
STT_PC0161_0138_972488_to_974856,སྐབས་དེ་དུས་ད་ལྟའི་དགའ་ཕྱོགས་ཚང་མ་ལ་འགྱུར་ཚར་བ་རེད། དགའ་བོ་ཡོད་མ་རེད།  ,skabs de dus da lta'i dga' phyogs tshang ma la 'gyur tshar ba red/_dga' bo yod ma red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0161_0138_972488_to_974856.wav,STT_PC,3,71,2.368,wav16k/STT_PC0161_0138_972488_to_974856.wav,སྐབས་དེ་དུས་ད་ལྟའི་དགའ་ཕྱོགས་ཚང་མ་ལ་འགྱུར་ཚར་བ་རེད། དགའ་བོ་ཡོད་མ་རེད།
STT_PC0161_0142_1006373_to_1009087,ད་དོན་དག་ཤི་ཐུབ་ཀི་ཡོད་མ་རེད། ལ་ལ་ཅིག རྒྱུ་དེ་དྲན་བྱས།  ,da don dag shi thub ki yod ma red/_la la cig_rgyu de dran byas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0161_0142_1006373_to_1009087.wav,STT_PC,3,56,2.714,wav16k/STT_PC0161_0142_1006373_to_1009087.wav,ད་དོན་དོག་ཤི་ཐུབ་ཀི་ཡོད་མ་རེད། ལ་ལ་ཅིགི་རྒྱུ་དེ་དྲན་བྱས།
STT_MV0093_0226_1542542_to_1551643,སྟབས་ལེགས་པ་གཅིག་ལ་གོང་མ་མཆོག་ནས་སྐུ་ངོ་པའོ་ལགས་མཐའ་བཞིར་ཨ་བན་ལ་བསྐོས་གནང་བྱས་འཕྲལ་དུ་ཁོའི་ངན་སྤྱོད་ཀི་མཐིལ་སྟོན་གནང་པ་རེད། དེའང་གོང་མ་མཆོག་ནས་མི་བཀོལ་སྤྱོད་མཁས་པོ་སོང་ཙང་རེད།  ,stabs legs pa gcig la gong ma mchog nas sku ngo pa'o lags mtha' bzhir a ban la bskos gnang byas 'phral du kho'i ngan spyod ki mthil ston gnang pa red/_de'ang gong ma mchog nas mi bkol spyod mkhas po song tsang red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0093_0226_1542542_to_1551643.wav,STT_MV,3,177,9.101,wav16k/STT_MV0093_0226_1542542_to_1551643.wav,སྟབས་ལེགས་པ་གཅིག་ལ་གོང་མ་མཆོག་ནས་སྐུ་ངོ་པའོ་ལགས་ཐབས་བཤེར་ཨ་པན་ལ་བསཀོད་གནང་བྱས་ འཕྲལ་དུ་ཁོའི་ངན་ྤཅུད་ཀི་མཐིལ་བཏོན་གནང་པ་རེད། དེཡེ་གོང་མ་མཆོག་ནས་མི་བཀོལ་སྤྱོད་མཁས་པོ་སོང་ཙང་རེད།
